month,ar_balance,dso
2024-10,8285611.21,78.55310117206781
2024-11,8263198.070000001,59.51657191245769
2024-12,7722115.58,58.570209718765476
2025-01,9752225.96,77.11761668800757
2025-02,8880214.77,65.29305086935521
2025-03,9010995.11,65.52528922515906
2025-04,9648166.400000002,69.86102316304324
2025-05,8946442.55,67.62010226224545
2025-06,8958931.46,66.3813814379479
2025-07,8313473.190000001,65.02159122846967
2025-08,9312733.61,70.11868740273302
2025-09,10398521.46,81.46336551054408
2025-10,9684806.55,76.83459888229531
2025-11,9495387.65,77.93369364530558
2025-12,11635730.41,83.70870681151163
2026-01,12129282.360000001,78.3032663864539
2026-02,12840414.07,80.99826028412491
2026-03,12135217.57,89.19112122459781
2026-04,11808181.08,91.20315280427309
2026-05,11467882.97,94.85723313185177
2026-06,8524467.51,109.70536420543748
